"","B21-28F","B22-28F","B23-28F","B24-28F","B25-28F"
"Lactococcus",52,21,0,9,1
"Tannerella",787,756,395,1266,1111
"Barnesiella",12,21,8,24,17
"Bacteroides",130,241,192,228,315
"Hydrogenoanaerobacterium",0,0,0,0,1
"Clostridium",458,344,418,167,334
"Lactobacillus",231,145,34,425,59
"Oscillibacter",67,8,11,7,2
"Prevotella",25,40,42,54,102
"Clostridium::Eubacterium",0,0,0,0,0
"Porphyromonas",4,0,0,5,1
"Parabacteroides",25,20,5,25,35
"Alistipes",7,13,32,11,13
"Eubacterium",20,35,41,20,19
"Helicobacter",2,2,80,402,7
"Coprococcus",1,13,13,5,2
"Clostridium::Bacteroides",0,0,0,1,0
"Oscillospira",4,1,8,2,1
"Roseburia",32,5,34,6,0
"Allobaculum",0,973,165,1,22
"Parasutterella",0,0,1,3,11
"Roseburia::Clostridium",6,0,0,0,0
"Odoribacter::Tannerella",0,0,0,0,0
"Eubacterium (Erysipelotrichaceae)",0,0,0,0,3
"Odoribacter",6,21,13,42,10
"Paraprevotella",3,0,0,0,1
"Blautia::Clostridium",114,56,36,3,4
"Sphingobacterium",6,6,0,6,1
"Alkalitalea",110,151,3,142,53
"Ruminococcus",35,8,9,6,9
"Blautia::Anaerostipes",0,0,0,0,0
"Anaerostipes",0,2,3,3,0
"Alistipes::Bacteroides",3,5,7,1,0
"Eubacterium (Erysipelotrichaceae)::Eubacterium",0,0,0,0,0
"Alkalitalea::Sphingobacterium",0,1,0,0,0
"Turicibacter",7,312,14,113,43
"Butyrivibrio",1,16,1,9,0
"Pseudoflavonifractor",12,6,12,14,2
"Sharpea",0,0,0,0,0
"Parabacteroides::Bacteroides",2,2,1,0,9
"Johnsonella",0,1,0,0,0
"Butyricicoccus",0,0,1,1,0
"Paludibacter",0,0,0,1,1
"Blautia",61,38,29,1,8
"Ruminococcus::Clostridium",1,0,1,0,0
"Bryantella",0,1,6,3,4
"Desulfovibrio",0,0,37,0,0
"Alkalitalea::Tannerella",0,0,0,0,0
"Bacteroides::Alistipes",0,0,0,1,2
"TM7 (genus)",0,1,0,0,0
"Escherichia",0,0,0,0,0
"Clostridium::Ruminococcus",0,0,0,0,0
"Clostridium::Desulfotomaculum",4,1,2,2,0
"Blautia::Ruminococcus",1,5,2,0,0
"Bacillus",2,4,0,0,2
"Ruminofilibacter",9,17,0,10,2
"Anaerotruncus",1,0,0,0,0
"Candidatus Arthromitus",0,0,0,3,0
"Oribacterium",1,3,0,0,0
"Anaeroplasma",0,0,0,0,0
"Bilophila",0,0,0,0,0
"Lactobacillus::Lactococcus",0,0,0,0,0
"Sporanaerobacter",0,0,2,0,0
"Ethanoligenens",0,0,0,0,0
"Butyricimonas",0,1,0,1,0
"Adlercreutzia",0,0,0,2,0
"Clostridium::Coprococcus",0,0,0,0,0
"Catonella",5,0,1,0,0
"Denitrobacterium",1,0,3,0,0
"Lachnobacterium",0,1,0,0,0
"Enterorhabdus",0,0,0,0,0
"Eggerthella",0,0,0,0,0
"Pseudomonas",0,0,0,0,0
"Rikenella",1,2,1,1,2
"Desulfotomaculum",0,0,1,0,2
"Catabacter::Ruminococcus",0,0,0,0,0
"Desulfitobacterium",0,3,0,1,0
"Clostridium::Anaerostipes",2,0,0,0,0
"Rhodospirillum",1,0,0,1,3
"Clostridium::Roseburia::Subdoligranulum",0,0,0,0,0
"Alkaliphilus",0,0,0,0,0
"Sporobacter",1,0,0,0,0
"Tindallia",0,0,0,0,0
"Treponema",0,0,2,0,0
"Gelidibacter",0,1,0,1,0
"Clostridium::Roseburia",1,1,0,0,0
"Clostridium::Blautia",0,0,0,0,0
"Anaerostipes::Blautia",0,0,0,0,0
"Halanaerobacter",0,0,0,0,0
"Streptomyces",0,0,0,1,0
"Terasakiella",1,0,0,0,0
"Methylobacterium",0,0,0,0,1
"Cytophaga",0,0,0,0,0
"Streptococcus",0,0,0,0,0
"Limibacter",1,1,0,1,0
"Pseudoflavonifractor::Clostridium",0,0,0,0,0
"Fusobacterium",0,0,1,0,0
"Fluviicola",0,0,0,0,0
"Desulfuromonas",1,5,2,0,1
"Dorea",2,0,0,1,0
"Butyrivibrio::Eubacterium",0,1,0,0,0
"Porphyromonas::Prevotella",0,0,0,0,0
"Flavobacterium",0,0,0,0,0
"Desulfocurvus",0,0,1,0,0
"Clostridium::Dorea",1,0,0,0,0
"Eubacterium::Sporobacter",0,0,0,0,0
"Parasporobacterium",0,0,0,0,0
"Eubacterium::Clostridium",0,0,0,0,0
"Lachnospira",1,1,0,1,0
"Anaerotruncus::Clostridium",0,0,0,0,0
"Mucispirillum",2,0,3,5,7
"Clostridium (Erysipelotrichaceae)",0,0,0,0,0
"Eubacterium::Roseburia",0,0,0,0,0
"Anaerotruncus::Ruminococcus",0,0,0,0,0
"Anaerofilum",0,0,0,0,0
"Sphingobium",0,0,0,0,1
"Anaerovorax",1,0,0,1,0
"Eubacterium::Ruminococcus",1,0,0,0,0
"Desulfonispora",0,0,0,0,0
"Sporobacterium",0,0,0,0,0
"Eubacterium::Blautia",0,0,0,0,0
"Dokdonia",0,0,0,0,0
"Ruminococcus::Parabacteroides",0,0,0,0,0
"Faecalibacterium",0,0,0,0,0
"Blautia::Lachnobacterium",0,0,0,0,0
"Catabacter",0,0,0,0,0
"Desulfosporosinus",0,0,0,0,0
"Caminicella",0,0,0,0,0
"Acetivibrio",0,0,0,0,0
"Clostridium::Ruminococcus::Parabacteroides",0,0,0,0,0
"Dysgonomonas",0,0,0,0,0
"Desulfotomaculum::Clostridium",0,0,2,0,0
"Adlercreutzia::Asaccharobacter",0,0,0,0,0
"Acetitomaculum",0,0,0,0,0
"Bacteroides::Tannerella",0,0,0,0,0
"Flexibacter",0,0,0,0,0
"Arthrobacter",0,0,0,0,1
"Syntrophomonas",0,0,0,0,0
"Paraeggerthella",0,0,0,1,0
"Butyrivibrio::Clostridium",0,0,0,0,0
"Pseudobutyrivibrio",0,0,0,0,0
"Blautia::Ruminococcus::Coprococcus",0,0,0,0,0
"Bacteroides::Parabacteroides",0,0,0,0,0
"Blautia::Clostridium::Dorea",0,0,0,0,0
"Paraprevotella::Prevotella",0,0,0,0,1
"Candidatus Phytoplasma",0,0,0,0,0
"Lactonifactor",0,0,0,0,0
"Anaerostipes::Clostridium",0,0,0,0,0
"Robinsoniella",0,0,0,0,0
"Coprobacillus",0,0,0,0,0
"Clostridium::Anaerotruncus",0,0,0,0,0
"Subdoligranulum",0,0,0,0,0
"Clostridium::Roseburia::Blautia",0,0,0,0,0
"Ruminococcus::Blautia::Clostridium",0,0,0,0,0
"Herbaspirillum",0,0,0,0,0
"Anaerophaga",0,0,0,0,0
"Lachnospira::Catonella",0,0,0,0,0
"Leifsonia",0,0,0,0,0
"Oxobacter",0,0,0,0,0
"Clostridium::Anaerosporobacter",0,0,0,0,0
"Tindallia::Clostridium",0,0,0,0,0
"Roseburia::Eubacterium",0,0,0,0,0
"Ruminococcus::Escherichia",0,0,0,0,0
"Butyrivibrio::Pseudobutyrivibrio",0,0,0,0,0
"Coprococcus::Ruminococcus",0,0,0,0,0
"Sporobacter::Oscillospira",0,0,0,0,0
"Atopobium",0,0,0,0,0
"Gracilibacter",0,0,0,0,0
"Azospirillum",0,0,0,0,0
"Marinilabilia",0,0,0,2,0
"Shigella::Enterobacter",0,0,0,0,0
"Pseudobutyrivibrio::Butyrivibrio",0,0,0,0,0
"Blautia::Lachnospira",0,0,0,0,0
"Lachnobacterium::Roseburia",0,0,0,0,0
"Bacillus::Bacteroides",0,0,0,0,0
"Blautia::Clostridium::Desulfotomaculum",0,0,0,0,0
"Cyanobium",0,0,0,0,0
"Anaplasma",0,0,0,0,0
"Haemophilus",0,0,0,0,0
"Ruminococcus::Dorea",0,0,0,0,0
"Algoriphagus",0,0,0,0,0
"Lawsonia",0,0,0,0,0
"Alkalitalea::Rhizobium",0,0,0,0,0
"Barnesiella::Bacteroides",0,0,0,0,0
"Azospirillum::Rhodospirillum",0,0,0,0,0
"Eubacterium::Lachnospira",0,0,3,0,0
"Slackia",0,0,0,0,0
"Enterococcus",0,0,0,0,0
"Dorea::Clostridium",0,0,0,0,0
"Brevibacterium",0,0,0,0,0
"Roseospirillum",0,0,0,0,0
"Thalassospira",0,0,0,0,0
"Erysipelothrix",0,0,0,0,0
"Parvularcula",0,0,0,0,0
"Pseudoalteromonas",0,0,0,0,0
"Acidaminococcus",0,0,0,0,0
