name,A11-28F,A12-28F,A13-28F,A14-28F,A15-28F,A16-28F,A21-28F,A22-28F,A23-28F,A24-28F,A25-28F,A26-28F,B11-28F,B12-28F,B13-28F,B14-28F,B15-28F,B21-28F,B22-28F,B23-28F,B24-28F,B25-28F,C11-28F,C12-28F,C13-28F,C21-28F,C22-28F,C23-28F,D11-28F,D12-28F,D13-28F,D14-28F,D21-28F,D22-28F
Lactococcus,712,74,14,17,620,57,231,277,166,65,152,106,17,204,8,7,4,52,21,0,9,1,2,36,9,30,122,126,137,4,34,12,11,225
Tannerella,499,863,1257,374,1201,244,1000,1217,988,1313,1037,755,646,170,670,421,548,787,756,395,1266,1111,656,422,628,1832,507,956,379,530,896,397,476,644
Barnesiella,2,16,28,9,12,4,2,2,0,12,3,3,6,2,12,8,21,12,21,8,24,17,18,4,4,8,10,31,14,8,17,5,25,6
Bacteroides,293,787,296,197,1593,500,208,194,530,248,259,212,604,406,436,260,443,130,241,192,228,315,227,219,308,328,171,466,235,221,226,224,110,204
Hydrogenoanaerobacterium,5,1,1,0,7,3,0,0,13,0,0,0,1,0,7,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,1,1,1
Clostridium,489,1072,227,620,3190,814,244,121,873,250,283,126,179,398,564,400,737,458,344,418,167,334,790,550,752,301,482,689,615,961,547,636,258,295
Lactobacillus,65,6,1,0,1013,64,43,74,4,2,10,2,53,312,59,149,281,231,145,34,425,59,163,48,108,523,147,394,34,93,287,170,256,293
Oscillibacter,11,19,11,20,177,38,3,1,95,49,2,16,14,38,47,31,44,67,8,11,7,2,37,40,4,14,13,18,16,42,29,22,10,3
Prevotella,144,78,29,14,71,9,48,372,9,84,98,103,196,31,110,49,34,25,40,42,54,102,31,65,32,172,37,60,16,43,38,60,57,57
Clostridium::Eubacterium,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0
Porphyromonas,0,2,19,0,15,1,1,0,14,5,0,4,0,0,2,0,2,4,0,0,5,1,15,0,0,3,0,4,0,0,3,3,0,1
Parabacteroides,74,18,22,1,133,10,36,8,25,20,54,45,32,21,11,13,27,25,20,5,25,35,12,4,9,44,7,36,11,5,5,9,5,19
Alistipes,25,48,21,2,90,8,30,2,8,14,14,18,103,32,25,29,59,7,13,32,11,13,20,20,5,42,14,22,13,14,33,26,35,18
Eubacterium,45,87,51,41,172,11,35,47,121,32,114,37,159,102,62,64,97,20,35,41,20,19,41,42,27,95,48,77,63,60,60,132,41,27
Helicobacter,26,10,13,530,71,45,2,1,224,7,3,4,5,4,65,67,1,2,2,80,402,7,32,19,8,4,11,6,12,321,77,8,4,1
Coprococcus,17,43,6,3,142,13,11,0,37,4,3,8,26,11,25,48,53,1,13,13,5,2,9,39,54,6,6,60,4,81,14,17,20,2
Clostridium::Bacteroides,4,4,2,0,27,0,0,0,0,1,8,0,0,0,0,0,8,0,0,0,1,0,0,1,0,0,5,0,0,0,1,1,0,1
Oscillospira,3,5,3,11,127,9,1,0,24,11,1,2,4,7,9,0,10,4,1,8,2,1,20,0,0,9,6,6,21,13,6,12,2,0
Roseburia,88,30,8,33,130,15,3,1,28,3,11,1,9,37,13,58,69,32,5,34,6,0,35,9,4,18,96,13,148,29,5,27,79,9
Allobaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,973,165,1,22,0,0,0,0,0,0,0,0,0,0,0,0
Parasutterella,0,0,5,0,0,0,0,2,0,3,1,1,2,0,0,4,5,0,0,1,3,11,0,0,0,0,0,6,0,0,0,0,0,1
Roseburia::Clostridium,1,2,0,5,15,4,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,2,2,1,2,1,0,3,1,2,4,1,11
Odoribacter::Tannerella,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Eubacterium (Erysipelotrichaceae),0,0,30,0,0,0,0,0,0,0,38,22,52,82,0,48,51,0,0,0,0,3,0,0,0,1,1,1,1,0,0,13,0,0
Odoribacter,8,64,4,12,125,25,13,17,146,22,3,13,17,50,39,44,94,6,21,13,42,10,33,10,17,61,42,43,13,17,14,6,9,13
Paraprevotella,7,0,7,0,2,0,1,1,1,0,3,6,22,0,9,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,1,1,0,1
Blautia::Clostridium,0,15,1,0,134,0,1,3,8,0,1,0,14,45,58,0,6,114,56,36,3,4,17,4,13,8,1,6,161,47,81,160,21,185
Sphingobacterium,0,0,0,2,0,0,0,0,2,1,0,0,1,0,0,1,0,6,6,0,6,1,0,1,5,0,0,1,7,0,3,2,4,28
Alkalitalea,58,8,5,48,2,0,0,0,33,38,247,28,3,1,33,38,19,110,151,3,142,53,2,75,5,0,23,31,160,71,174,82,443,985
Ruminococcus,35,44,17,15,180,14,13,4,33,6,1,1,11,36,13,4,43,35,8,9,6,9,22,30,48,15,2,13,29,40,26,60,5,12
Blautia::Anaerostipes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
Anaerostipes,4,3,0,31,679,0,277,1,25,28,1,0,0,0,0,1,0,0,2,3,3,0,1,8,61,0,0,0,9,0,11,0,1,0
Alistipes::Bacteroides,6,14,0,3,20,5,2,1,4,1,3,0,3,12,5,5,3,3,5,7,1,0,9,2,0,0,3,5,7,6,5,6,4,1
Eubacterium (Erysipelotrichaceae)::Eubacterium,0,0,5,0,0,0,0,0,0,0,4,4,1,4,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Alkalitalea::Sphingobacterium,0,0,0,3,0,0,0,0,1,0,16,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,1,13,7,17,4,25,75
Turicibacter,0,0,0,0,0,0,0,0,0,0,0,0,265,242,1,111,214,7,312,14,113,43,0,0,0,0,0,0,0,0,0,0,0,0
Butyrivibrio,204,63,5,9,177,7,2,2,132,2,31,0,14,44,19,42,20,1,16,1,9,0,12,9,0,1,7,3,82,4,18,94,1,2
Pseudoflavonifractor,1,24,2,12,89,24,0,1,44,10,3,11,2,9,4,12,9,12,6,12,14,2,21,11,2,4,6,3,5,38,13,15,2,4
Sharpea,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parabacteroides::Bacteroides,12,3,1,1,1,0,3,3,11,2,9,2,16,4,4,6,8,2,2,1,0,9,0,0,1,3,0,3,1,1,0,2,2,1
Johnsonella,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Butyricicoccus,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,1,1,0,14,1,0,0,0,0,0,1,0,1,0,0
Paludibacter,0,2,0,2,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1
Blautia,18,18,2,9,259,4,12,2,39,5,4,3,13,32,29,7,7,61,38,29,1,8,23,2,32,19,1,11,130,74,76,110,18,123
Ruminococcus::Clostridium,4,1,0,0,5,0,2,0,2,0,0,3,0,2,0,0,1,1,0,1,0,0,2,1,2,0,3,2,2,6,0,2,0,0
Bryantella,6,3,0,0,187,2,4,3,0,0,2,3,3,0,1,5,2,0,1,6,3,4,3,1,15,13,11,3,2,4,8,0,0,11
Desulfovibrio,0,12,0,1,8,0,0,1,0,0,0,0,0,1,2,5,2,0,0,37,0,0,0,0,0,0,0,3,0,2,0,0,2,0
Alkalitalea::Tannerella,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5
Bacteroides::Alistipes,0,0,0,0,2,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,1,2,0,2,1,2,0,2,0,1,1,0,0,1
TM7 (genus),1,6,5,0,2,0,0,9,1,0,1,0,0,1,1,1,5,0,1,0,0,0,0,3,0,6,0,7,3,0,1,5,1,0
Escherichia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium::Ruminococcus,4,0,0,0,14,0,0,2,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,1,0,9,4,4,8,8,1,2,0,0
Clostridium::Desulfotomaculum,0,3,0,0,12,0,3,0,3,0,0,0,0,2,3,0,0,4,1,2,2,0,1,0,0,0,0,3,0,4,0,0,0,11
Blautia::Ruminococcus,2,2,0,1,8,0,0,0,1,0,1,0,1,4,1,0,0,1,5,2,0,0,1,2,0,1,2,1,0,9,2,11,7,0
Bacillus,0,16,0,1,1,1,8,2,61,4,7,0,9,3,3,0,17,2,4,0,0,2,10,0,9,35,2,17,7,5,4,1,6,10
Ruminofilibacter,8,0,1,2,0,0,0,0,0,1,2,2,1,0,1,4,0,9,17,0,10,2,0,2,2,0,1,0,2,1,3,7,6,12
Anaerotruncus,1,2,1,0,9,1,0,0,8,1,4,2,2,1,7,0,2,1,0,0,0,0,4,5,0,0,0,0,3,2,0,1,0,0
Candidatus Arthromitus,0,36,46,18,19,20,7,191,188,31,0,2,0,0,0,5,0,0,0,0,3,0,52,0,0,3,0,0,1,0,0,0,0,5
Oribacterium,3,14,2,2,12,11,0,0,152,0,0,0,0,1,3,1,7,1,3,0,0,0,27,2,1,1,0,0,3,0,4,16,0,0
Anaeroplasma,35,10,0,0,0,0,1,0,44,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0
Bilophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus::Lactococcus,5,0,0,0,9,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Sporanaerobacter,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,6,2,0,0
Ethanoligenens,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Butyricimonas,2,0,2,1,2,0,0,0,4,1,0,1,1,1,0,2,4,0,1,0,1,0,2,1,0,1,2,0,0,3,1,1,1,0
Adlercreutzia,1,1,1,0,2,3,0,0,2,1,2,1,0,0,3,0,1,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,1,0
Clostridium::Coprococcus,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Catonella,13,2,0,0,73,0,0,0,0,0,3,0,0,5,4,1,19,5,0,1,0,0,2,0,0,1,4,1,8,1,2,6,1,0
Denitrobacterium,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Lachnobacterium,1,0,0,0,2,1,0,1,0,0,0,0,0,0,1,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,0,1
Enterorhabdus,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2
Eggerthella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0
Pseudomonas,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
Rikenella,5,5,24,10,124,22,5,22,16,13,23,0,0,3,0,28,27,1,2,1,1,2,5,19,2,1,11,15,10,3,1,6,4,0
Desulfotomaculum,0,2,0,0,12,2,1,1,5,0,0,0,1,1,0,0,4,0,0,1,0,2,2,0,0,1,0,1,0,5,0,0,1,0
Catabacter::Ruminococcus,0,1,0,2,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
Desulfitobacterium,0,1,0,0,4,3,0,0,2,1,0,0,3,6,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,11,0,1,0,0
Clostridium::Anaerostipes,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Rhodospirillum,0,0,0,0,2,0,0,18,0,0,2,11,14,0,0,37,5,1,0,0,1,3,0,0,0,0,4,2,4,0,1,0,0,0
Clostridium::Roseburia::Subdoligranulum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alkaliphilus,1,2,0,0,12,0,0,0,4,1,0,0,1,0,2,0,0,0,0,0,0,0,0,6,2,0,2,5,0,0,1,0,0,0
Sporobacter,3,0,0,0,17,0,0,1,31,1,1,0,2,1,0,0,2,1,0,0,0,0,1,0,0,4,0,3,1,3,0,0,0,1
Tindallia,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Treponema,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,0,5
Gelidibacter,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0
Clostridium::Roseburia,0,2,0,6,0,0,0,0,19,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Clostridium::Blautia,0,0,0,0,1,0,3,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Anaerostipes::Blautia,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halanaerobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Streptomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0
Terasakiella,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Methylobacterium,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cytophaga,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
